id,animal_id,client_id,veterinarian_id,organization_id,consultation_date,consultation_type,symptoms,diagnosis,treatment,notes,weight,temperature,heart_rate,respiratory_rate,photos,follow_up_date,follow_up_notes,status,created_at,updated_at
85def6f0-115c-44ba-addf-ce65e476df10,ef81ce40-e263-4bd7-8770-594775ee3732,98cf4c86-c4b2-430f-b042-71fa39f9e19c,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,2026-05-25 21:26:20.089833+00,générale,Boiterie patte arrière droite,Entorse légère,Repos + anti-inflammatoire 5 jours,,32.5,38.6,95,25,,2026-06-18,,completed,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
0b587f0c-2c98-48ed-9dc0-f31f29f44be4,165cb3b1-7fd7-421f-9086-d435599c7055,3645ef7d-18b1-450b-847e-8ad9256e999a,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,2026-05-30 21:26:20.089833+00,urgence,"Vomissements, diarrhée",Gastro-entérite alimentaire,"Diète 24h, probiotiques, hydratation",,27.5,39.2,105,30,,2026-06-11,,completed,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
aff52fd7-0f5d-476d-bcb3-01b9497777e0,6d0b75b9-6d35-4d40-9025-2644fe0a4f2d,98cf4c86-c4b2-430f-b042-71fa39f9e19c,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,2026-05-05 21:26:20.089833+00,vaccination,,Bonne santé générale,Vaccination annuelle,,4.2,38.5,180,35,,,,completed,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
da610fb1-c927-47aa-88bc-043bd06aa372,1eb9d53f-7121-4961-a9d1-5e149c2150fc,03815bc6-ac5d-4002-a8db-0116b46d54ab,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,2026-05-15 21:26:20.089833+00,générale,Larmoiement excessif,Conjonctivite mineure,Collyre antibiotique 7 jours,,3.8,38.8,175,32,,,,completed,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
93522b96-c652-4727-b428-cd0b5d487dc6,402fbd72-6a3e-4bb8-8d64-280e4da3f2d8,03815bc6-ac5d-4002-a8db-0116b46d54ab,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,2026-04-05 21:26:20.089833+00,chirurgie,Castration programmée,Intervention de routine,Castration sous AG,,8.5,38.5,100,28,,,,completed,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
88b0e9d4-1f73-4825-bfc7-158ea61dd204,bdc2e77d-bd24-43e6-9a9d-91721159ed8f,af49b79b-caf8-49f7-b49d-a14d6c3d469a,d0d0d0d0-0000-0000-0000-000000000001,d0d0d0d0-0000-0000-0000-0000000000aa,2026-05-20 21:26:20.089833+00,suivi,Contrôle poids,Surpoids modéré,Régime light + contrôle 1 mois,,7.2,38.4,170,30,,2026-06-19,,completed,2026-06-04 21:26:20.089833+00,2026-06-04 21:26:20.089833+00
6f32c101-c429-4ff4-bd97-9957af58e321,ed0b09a0-49e3-4a56-8aa4-89fbbfa571ed,e11efd50-30bf-480b-b8f1-1a285cd7dc92,,632f7dff-e8d7-475f-9424-1d24d314d48f,2026-02-28 14:12:39.777+00,générale,"Fatigue, perte d'appétit",Gastrite,Shampoing thérapeutique,,4,38.224511235239206,,,,,,completed,2026-06-06 14:12:39.82874+00,2026-06-06 14:12:39.82874+00
65edb48e-54b7-42a5-9f62-2a447657460d,ed0b09a0-49e3-4a56-8aa4-89fbbfa571ed,e11efd50-30bf-480b-b8f1-1a285cd7dc92,,632f7dff-e8d7-475f-9424-1d24d314d48f,2026-02-21 14:12:39.777+00,urgence,Boiterie patte avant,Infection légère,Shampoing thérapeutique,,27,38.5589596343524,,,,,,completed,2026-06-06 14:12:39.82874+00,2026-06-06 14:12:39.82874+00
a4deec48-5868-4191-b0f1-28224877612c,ed0b09a0-49e3-4a56-8aa4-89fbbfa571ed,e11efd50-30bf-480b-b8f1-1a285cd7dc92,,632f7dff-e8d7-475f-9424-1d24d314d48f,2025-12-18 14:12:39.777+00,suivi,Démangeaisons,Gastrite,Antibiotique 7j,,16,38.14323853311487,,,,,,completed,2026-06-06 14:12:39.82874+00,2026-06-06 14:12:39.82874+00
9bb4cd7a-cef7-4288-8cd2-7c503ae4c825,889a6e4e-2e93-494a-a673-f5c6f9072e0f,e11efd50-30bf-480b-b8f1-1a285cd7dc92,,632f7dff-e8d7-475f-9424-1d24d314d48f,2026-01-07 14:12:39.777+00,urgence,Boiterie patte avant,Gastrite,Anti-inflammatoire,,2,38.521055624833316,,,,,,completed,2026-06-06 14:12:39.82874+00,2026-06-06 14:12:39.82874+00
